review_id,transaction_id,user_id,product_id,rating,review_text,review_date,helpful_votes,cleaned_text,sentiment,sentiment_binary
R000001,T028082,U01369,P00355,4,Very satisfied with this purchase.,2025-09-02 16:08:29.521103,35,satisfied purchase,2,1
R000002,T029991,U03948,P00982,5,Best purchase I've made this year!,2024-12-22 01:13:20.521103,75,best purchase ive made year,2,1
R000003,T032069,U04862,P00664,2,Disappointed with this purchase.,2025-07-01 07:56:49.521103,20,disappointed purchase,0,0
R000004,T009994,U02153,P00256,5,Best purchase I've made this year!,2025-09-07 06:55:58.521103,26,best purchase ive made year,2,1
R000005,T036928,U00715,P00208,4,"Outstanding product, worth every penny.",2025-11-12 15:58:14.521103,98,outstanding product worth every penny,2,1
R000006,T049575,U03845,P00181,4,"Great quality, exactly what I needed.",2025-03-15 23:01:06.521103,13,great quality exactly needed,2,1
R000007,T038650,U02666,P00025,3,"Average quality, nothing special.",2025-02-24 06:13:13.521103,24,average quality nothing special,1,0
R000008,T003126,U01779,P00970,3,"It's fine, does what it's supposed to do.",2025-03-28 16:01:57.521103,27,fine supposed,1,0
R000009,T033781,U04301,P00498,4,Best purchase I've made this year!,2024-12-24 03:55:49.521103,87,best purchase ive made year,2,1
R000010,T034714,U02985,P00898,3,"It's fine, does what it's supposed to do.",2025-01-19 22:09:12.521103,40,fine supposed,1,0
R000011,T049572,U02705,P00959,5,Very satisfied with this purchase.,2025-06-08 04:36:47.521103,81,satisfied purchase,2,1
R000012,T040380,U00724,P00070,5,"Outstanding product, worth every penny.",2025-10-16 19:22:53.521103,36,outstanding product worth every penny,2,1
R000013,T008133,U00270,P00081,3,"It's fine, does what it's supposed to do.",2025-05-04 06:33:52.521103,95,fine supposed,1,0
R000014,T010187,U03980,P00035,5,"Outstanding product, worth every penny.",2025-02-03 18:02:25.521103,20,outstanding product worth every penny,2,1
R000015,T010233,U03690,P00539,3,"Product is okay, meets basic expectations.",2025-02-01 19:19:07.521103,41,product okay meet basic expectation,1,0
R000016,T004034,U01402,P00269,3,"Average quality, nothing special.",2025-04-10 18:55:45.521103,25,average quality nothing special,1,0
R000017,T042217,U04043,P00858,3,"Product is okay, meets basic expectations.",2025-07-12 08:34:19.521103,63,product okay meet basic expectation,1,0
R000018,T033816,U03209,P00671,4,Excellent product! Highly recommended.,2025-04-06 22:29:09.521103,1,excellent product highly recommended,2,1
R000019,T001580,U00637,P00891,1,Disappointed with this purchase.,2025-03-04 19:09:11.521103,53,disappointed purchase,0,0
R000020,T000204,U00361,P00303,3,"Product is okay, meets basic expectations.",2025-06-15 05:56:27.521103,11,product okay meet basic expectation,1,0
R000021,T004890,U00118,P00119,3,"Average quality, nothing special.",2025-10-26 12:53:12.521103,9,average quality nothing special,1,0
R000022,T041016,U01743,P00094,5,"Great quality, exactly what I needed.",2025-04-08 08:48:56.521103,33,great quality exactly needed,2,1
R000023,T001927,U03597,P00578,5,"Great quality, exactly what I needed.",2025-05-09 14:29:01.521103,10,great quality exactly needed,2,1
R000024,T045205,U00750,P00396,5,"Great quality, exactly what I needed.",2024-12-06 20:18:31.521103,14,great quality exactly needed,2,1
R000025,T033299,U01701,P00786,5,"Outstanding product, worth every penny.",2025-05-12 18:31:36.521103,38,outstanding product worth every penny,2,1
R000026,T036692,U01615,P00217,4,Very satisfied with this purchase.,2025-06-05 07:39:46.521103,72,satisfied purchase,2,1
R000027,T017350,U02163,P00890,3,"Average quality, nothing special.",2025-02-10 22:26:56.521103,50,average quality nothing special,1,0
R000028,T031988,U00782,P00982,4,"Great quality, exactly what I needed.",2025-06-20 09:44:19.521103,22,great quality exactly needed,2,1
R000029,T019616,U00940,P00876,5,Very satisfied with this purchase.,2025-01-10 00:59:41.521103,98,satisfied purchase,2,1
R000030,T005950,U01855,P00553,2,Did not meet my expectations.,2025-10-02 06:58:57.521103,72,meet expectation,0,0
R000031,T029752,U01569,P00517,4,"Great quality, exactly what I needed.",2025-06-19 07:28:54.521103,7,great quality exactly needed,2,1
R000032,T006534,U04469,P00320,2,Did not meet my expectations.,2025-07-16 18:02:02.521103,74,meet expectation,0,0
R000033,T026463,U01082,P00199,3,"Average quality, nothing special.",2025-08-24 15:10:40.521103,69,average quality nothing special,1,0
R000034,T037572,U02798,P00295,3,"Product is okay, meets basic expectations.",2025-01-17 21:02:56.521103,82,product okay meet basic expectation,1,0
R000035,T037939,U01760,P00221,5,"Outstanding product, worth every penny.",2025-08-29 20:21:43.521103,12,outstanding product worth every penny,2,1
R000036,T004487,U00940,P00972,4,Excellent product! Highly recommended.,2025-06-12 10:33:28.521103,56,excellent product highly recommended,2,1
R000037,T035932,U01554,P00696,5,Very satisfied with this purchase.,2025-06-19 23:08:52.521103,41,satisfied purchase,2,1
R000038,T022197,U00808,P00203,5,"Great quality, exactly what I needed.",2025-02-21 04:34:00.521103,42,great quality exactly needed,2,1
R000039,T028251,U02996,P00313,5,Very satisfied with this purchase.,2025-01-21 20:34:10.521103,13,satisfied purchase,2,1
R000040,T001672,U02220,P00049,3,"Product is okay, meets basic expectations.",2025-03-13 03:01:07.521103,16,product okay meet basic expectation,1,0
R000041,T017501,U03297,P00632,4,"Outstanding product, worth every penny.",2025-07-07 17:43:23.521103,60,outstanding product worth every penny,2,1
R000042,T035428,U01869,P00222,5,"Great quality, exactly what I needed.",2025-09-03 14:03:27.521103,3,great quality exactly needed,2,1
R000043,T030727,U04718,P00529,4,Best purchase I've made this year!,2024-11-23 23:20:17.521103,79,best purchase ive made year,2,1
R000044,T031966,U02387,P00837,3,"It's fine, does what it's supposed to do.",2025-03-13 11:35:06.521103,11,fine supposed,1,0
R000045,T037719,U02676,P00843,5,Excellent product! Highly recommended.,2025-10-27 04:44:24.521103,67,excellent product highly recommended,2,1
R000046,T038768,U01476,P00322,4,Best purchase I've made this year!,2025-08-10 09:57:13.521103,46,best purchase ive made year,2,1
R000047,T005045,U02735,P00853,5,Best purchase I've made this year!,2025-03-29 04:07:23.521103,83,best purchase ive made year,2,1
R000048,T002879,U01455,P00902,3,"Product is okay, meets basic expectations.",2024-12-09 23:51:03.521103,45,product okay meet basic expectation,1,0
R000049,T041722,U04326,P00105,4,Excellent product! Highly recommended.,2025-10-04 08:36:16.521103,28,excellent product highly recommended,2,1
R000050,T026747,U00449,P00263,3,"Average quality, nothing special.",2025-05-08 07:52:28.521103,84,average quality nothing special,1,0
R000051,T018842,U00263,P00830,4,"Outstanding product, worth every penny.",2024-12-27 06:52:55.521103,93,outstanding product worth every penny,2,1
R000052,T034363,U01302,P00980,3,"Average quality, nothing special.",2025-10-23 23:08:18.521103,62,average quality nothing special,1,0
R000053,T006837,U04294,P00984,2,Disappointed with this purchase.,2024-12-08 08:33:05.521103,9,disappointed purchase,0,0
R000054,T023784,U04069,P00078,4,Best purchase I've made this year!,2025-10-12 01:26:16.521103,14,best purchase ive made year,2,1
R000055,T044184,U03115,P00660,5,Very satisfied with this purchase.,2025-11-05 00:22:28.521103,53,satisfied purchase,2,1
R000056,T013711,U03204,P00936,5,Best purchase I've made this year!,2025-07-13 22:26:24.521103,57,best purchase ive made year,2,1
R000057,T015088,U04009,P00149,1,Disappointed with this purchase.,2025-01-13 14:10:24.521103,51,disappointed purchase,0,0
R000058,T032145,U03622,P00310,4,Very satisfied with this purchase.,2025-02-10 11:21:36.521103,0,satisfied purchase,2,1
R000059,T025076,U04418,P00735,5,Excellent product! Highly recommended.,2025-08-15 17:47:00.521103,99,excellent product highly recommended,2,1
R000060,T014919,U04832,P00667,5,Very satisfied with this purchase.,2025-06-07 17:14:13.521103,54,satisfied purchase,2,1
