review,sentiment,cleaned_review,review_length
Horrible product! terrible and poor. Waste of money.,0,horrible product terrible poor waste money,6
Excellent! Exceeded expectations. wonderful and awesome.,1,excellent exceeded expectation wonderful awesome,5
Absolutely horrible! Worst product ever. So worthless.,0,absolutely horrible worst product ever worthless,6
Love it! fantastic quality and outstanding service.,1,love fantastic quality outstanding service,5
It's fine. okay for the price.,0,fine okay price,3
Absolutely perfect! Best product I've bought. So superb.,1,absolutely perfect best product ive bought superb,7
worthless purchase. Completely terrible. Not recommended.,0,worthless purchase completely terrible recommended,5
Hate it! disappointing quality and disappointing service.,0,hate disappointing quality disappointing service,5
wonderful experience! The product is great and works perfectly.,1,wonderful experience product great work perfectly,6
acceptable product. Does the job. Nothing more.,1,acceptable product job nothing,4
Disappointing! Very disappointing and awful design.,0,disappointing disappointing awful design,4
This product is wonderful! awesome quality and great value.,1,product wonderful awesome quality great value,6
This product is awesome! awesome quality and great value.,1,product awesome awesome quality great value,6
Hate it! disappointing quality and useless service.,0,hate disappointing quality useless service,5
Acceptable product. decent but could be better.,1,acceptable product decent could better,5
Fantastic product! fantastic and perfect. Worth every penny.,1,fantastic product fantastic perfect worth every penny,7
great purchase! Highly recommend. Very outstanding.,1,great purchase highly recommend outstanding,5
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
Average quality. decent but not outstanding.,0,average quality decent outstanding,4
Average quality. moderate but not wonderful.,0,average quality moderate wonderful,4
Absolutely outstanding! Best product I've bought. So amazing.,1,absolutely outstanding best product ive bought amazing,7
Love it! great quality and wonderful service.,1,love great quality wonderful service,5
Absolutely amazing! Best product I've bought. So awesome.,1,absolutely amazing best product ive bought awesome,7
Disappointing! Very unsatisfactory and horrible design.,0,disappointing unsatisfactory horrible design,4
Horrible product! defective and poor. Waste of money.,0,horrible product defective poor waste money,6
It's fine. fair for the price.,1,fine fair price,3
Acceptable product. decent but could be better.,0,acceptable product decent could better,5
Awful! Not what I expected. defective and unsatisfactory.,0,awful expected defective unsatisfactory,4
brilliant purchase! Highly recommend. Very amazing.,1,brilliant purchase highly recommend amazing,5
Poor quality! Below expectations. poor and poor.,0,poor quality expectation poor poor,5
Absolutely perfect! Best product I've bought. So superb.,1,absolutely perfect best product ive bought superb,7
Horrible product! bad and poor. Waste of money.,0,horrible product bad poor waste money,6
Perfect! Exactly what I needed. fantastic and awesome.,1,perfect exactly needed fantastic awesome,5
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
This product is excellent! awesome quality and great value.,1,product excellent awesome quality great value,6
Fantastic product! superb and excellent. Worth every penny.,1,fantastic product superb excellent worth every penny,7
Awful! Not what I expected. defective and worthless.,0,awful expected defective worthless,4
Love it! amazing quality and awesome service.,1,love amazing quality awesome service,5
Excellent! Exceeded expectations. excellent and perfect.,1,excellent exceeded expectation excellent perfect,5
This product is disappointing. Very useless quality.,0,product disappointing useless quality,4
This product is outstanding! fantastic quality and great value.,1,product outstanding fantastic quality great value,6
Fantastic product! great and superb. Worth every penny.,1,fantastic product great superb worth every penny,7
Excellent! Exceeded expectations. superb and perfect.,1,excellent exceeded expectation superb perfect,5
Impressive! Very excellent and fantastic design.,1,impressive excellent fantastic design,4
Absolutely defective! Worst product ever. So awful.,0,absolutely defective worst product ever awful,6
This product is disappointing. Very horrible quality.,0,product disappointing horrible quality,4
This product is okay. It's acceptable but nothing special.,0,product okay acceptable nothing special,5
Perfect! Exactly what I needed. perfect and awesome.,1,perfect exactly needed perfect awesome,5
moderate product. Does the job. Nothing more.,0,moderate product job nothing,4
Absolutely defective! Worst product ever. So terrible.,0,absolutely defective worst product ever terrible,6
Outstanding! The quality is amazing and amazing.,1,outstanding quality amazing amazing,4
Horrible product! unsatisfactory and useless. Waste of money.,0,horrible product unsatisfactory useless waste money,6
Impressive! Very fantastic and brilliant design.,1,impressive fantastic brilliant design,4
It's fine. average for the price.,0,fine average price,3
wonderful purchase! Highly recommend. Very amazing.,1,wonderful purchase highly recommend amazing,5
This product is okay. It's moderate but nothing special.,1,product okay moderate nothing special,5
Terrible! The quality is unsatisfactory and terrible.,0,terrible quality unsatisfactory terrible,4
Outstanding! The quality is brilliant and amazing.,1,outstanding quality brilliant amazing,4
Average quality. average but not useless.,1,average quality average useless,4
amazing experience! The product is outstanding and works perfectly.,1,amazing experience product outstanding work perfectly,6
outstanding purchase! Highly recommend. Very amazing.,1,outstanding purchase highly recommend amazing,5
