product_id,product_name,category,price,brand,in_stock,rating,num_reviews,description
P00001,Product 1,Toys,350.59,Brand_48,True,4.6,255,High quality product with excellent features Item 0
P00002,Product 2,Home & Kitchen,270.37,Brand_2,False,3.8,378,"Best seller in its category, highly recommended Item 1"
P00003,Product 3,Sports,158.22,Brand_6,True,4.7,205,Eco-friendly and sustainable choice Item 2
P00004,Product 4,Toys,407.83,Brand_28,True,4.3,334,"Great value for money, customer favorite Item 3"
P00005,Product 5,Clothing,343.94,Brand_29,True,4.7,42,Eco-friendly and sustainable choice Item 4
P00006,Product 6,Automotive,85.5,Brand_26,True,4.0,352,Eco-friendly and sustainable choice Item 5
P00007,Product 7,Sports,455.91,Brand_25,True,4.1,244,"Best seller in its category, highly recommended Item 6"
P00008,Product 8,Sports,412.16,Brand_12,True,3.3,286,Premium quality with advanced technology Item 7
P00009,Product 9,Toys,475.15,Brand_5,False,4.6,354,"Professional grade, built to last Item 8"
P00010,Product 10,Books,364.23,Brand_34,True,3.8,272,Innovative design with multiple features Item 9
P00011,Product 11,Clothing,308.64,Brand_48,True,4.0,475,"Best seller in its category, highly recommended Item 10"
P00012,Product 12,Toys,212.03,Brand_37,True,4.6,82,Premium quality with advanced technology Item 11
P00013,Product 13,Clothing,466.7,Brand_15,True,4.2,109,Innovative design with multiple features Item 12
P00014,Product 14,Clothing,433.7,Brand_44,True,3.4,437,"Professional grade, built to last Item 13"
P00015,Product 15,Automotive,27.38,Brand_36,True,4.2,189,Eco-friendly and sustainable choice Item 14
P00016,Product 16,Sports,18.05,Brand_15,True,3.8,470,"Great value for money, customer favorite Item 15"
P00017,Product 17,Home & Kitchen,191.35,Brand_43,True,3.9,287,"Great value for money, customer favorite Item 16"
P00018,Product 18,Automotive,406.22,Brand_48,True,3.1,423,"Professional grade, built to last Item 17"
P00019,Product 19,Automotive,493.7,Brand_23,True,3.4,396,"Professional grade, built to last Item 18"
P00020,Product 20,Clothing,79.46,Brand_6,True,3.6,250,High quality product with excellent features Item 19
P00021,Product 21,Beauty,299.09,Brand_46,True,4.4,211,Premium quality with advanced technology Item 20
P00022,Product 22,Sports,193.54,Brand_44,True,3.0,290,Eco-friendly and sustainable choice Item 21
P00023,Product 23,Books,485.11,Brand_43,True,3.8,132,Premium quality with advanced technology Item 22
P00024,Product 24,Automotive,421.85,Brand_45,True,4.8,200,"Professional grade, built to last Item 23"
P00025,Product 25,Home & Kitchen,419.97,Brand_21,True,3.2,284,"Perfect for everyday use, durable and reliable Item 24"
P00026,Product 26,Beauty,237.0,Brand_23,True,4.0,325,"Perfect for everyday use, durable and reliable Item 25"
P00027,Product 27,Beauty,210.34,Brand_43,False,4.6,408,Innovative design with multiple features Item 26
P00028,Product 28,Books,140.34,Brand_16,True,4.9,94,Innovative design with multiple features Item 27
P00029,Product 29,Automotive,32.91,Brand_47,True,4.5,277,"Perfect for everyday use, durable and reliable Item 28"
P00030,Product 30,Home & Kitchen,433.04,Brand_15,True,4.4,449,"Professional grade, built to last Item 29"
P00031,Product 31,Sports,407.39,Brand_25,False,4.7,428,"Professional grade, built to last Item 30"
