user_id,age,gender,location,membership,registration_date
U00001,40,M,West,Premium,2020-01-01 00:00:00
U00002,46,M,South,VIP,2020-01-01 04:00:00
U00003,38,M,West,Basic,2020-01-01 08:00:00
U00004,65,M,East,Basic,2020-01-01 12:00:00
U00005,62,F,North,Basic,2020-01-01 16:00:00
U00006,62,F,North,Premium,2020-01-01 20:00:00
U00007,66,M,North,Basic,2020-01-02 00:00:00
U00008,44,F,East,Basic,2020-01-02 04:00:00
U00009,56,M,South,Basic,2020-01-02 08:00:00
U00010,57,F,South,Premium,2020-01-02 12:00:00
U00011,30,M,South,Basic,2020-01-02 16:00:00
U00012,40,M,North,Basic,2020-01-02 20:00:00
U00013,33,F,South,Basic,2020-01-03 00:00:00
U00014,47,F,West,Basic,2020-01-03 04:00:00
U00015,21,F,North,Basic,2020-01-03 08:00:00
U00016,57,M,East,Basic,2020-01-03 12:00:00
U00017,33,M,East,VIP,2020-01-03 16:00:00
U00018,48,Other,South,Basic,2020-01-03 20:00:00
U00019,59,M,North,VIP,2020-01-04 00:00:00
U00020,42,M,West,Basic,2020-01-04 04:00:00
U00021,61,M,West,Basic,2020-01-04 08:00:00
U00022,29,M,North,Premium,2020-01-04 12:00:00
U00023,43,M,South,Basic,2020-01-04 16:00:00
U00024,54,F,East,Basic,2020-01-04 20:00:00
U00025,65,M,East,Premium,2020-01-05 00:00:00
U00026,50,F,West,Basic,2020-01-05 04:00:00
U00027,45,M,West,Basic,2020-01-05 08:00:00
U00028,26,M,West,Premium,2020-01-05 12:00:00
U00029,29,F,East,Basic,2020-01-05 16:00:00
U00030,22,F,West,Basic,2020-01-05 20:00:00
U00031,69,F,East,Premium,2020-01-06 00:00:00
U00032,45,F,East,Basic,2020-01-06 04:00:00
U00033,52,M,South,Basic,2020-01-06 08:00:00
U00034,22,F,South,Premium,2020-01-06 12:00:00
U00035,51,F,South,Basic,2020-01-06 16:00:00
U00036,63,M,West,Premium,2020-01-06 20:00:00
U00037,51,F,East,VIP,2020-01-07 00:00:00
U00038,30,F,West,Basic,2020-01-07 04:00:00
U00039,56,M,East,Basic,2020-01-07 08:00:00
U00040,59,M,South,Basic,2020-01-07 12:00:00
U00041,62,M,South,Basic,2020-01-07 16:00:00
U00042,65,F,West,VIP,2020-01-07 20:00:00
U00043,31,M,East,Basic,2020-01-08 00:00:00
U00044,28,M,West,Basic,2020-01-08 04:00:00
U00045,59,M,North,Basic,2020-01-08 08:00:00
U00046,55,F,West,Premium,2020-01-08 12:00:00
U00047,21,F,South,Basic,2020-01-08 16:00:00
U00048,50,F,East,Premium,2020-01-08 20:00:00
U00049,24,M,East,Basic,2020-01-09 00:00:00
U00050,58,F,West,Premium,2020-01-09 04:00:00
U00051,25,F,South,Basic,2020-01-09 08:00:00
U00052,54,F,North,Basic,2020-01-09 12:00:00
U00053,68,M,West,Premium,2020-01-09 16:00:00
U00054,27,M,East,Basic,2020-01-09 20:00:00
U00055,60,F,South,Basic,2020-01-10 00:00:00
U00056,32,M,East,VIP,2020-01-10 04:00:00
U00057,55,F,East,Basic,2020-01-10 08:00:00
U00058,32,F,East,Basic,2020-01-10 12:00:00
U00059,22,F,East,Basic,2020-01-10 16:00:00
U00060,46,F,North,Premium,2020-01-10 20:00:00
U00061,36,F,South,Basic,2020-01-11 00:00:00
U00062,68,M,West,Basic,2020-01-11 04:00:00
U00063,27,M,South,Basic,2020-01-11 08:00:00
U00064,29,M,South,Basic,2020-01-11 12:00:00
U00065,21,F,South,Premium,2020-01-11 16:00:00
U00066,48,M,West,Basic,2020-01-11 20:00:00
U00067,35,M,South,Basic,2020-01-12 00:00:00
U00068,33,F,West,Basic,2020-01-12 04:00:00
U00069,57,F,West,Basic,2020-01-12 08:00:00
U00070,53,Other,North,VIP,2020-01-12 12:00:00
U00071,42,F,East,Basic,2020-01-12 16:00:00
U00072,40,F,West,Basic,2020-01-12 20:00:00
U00073,29,F,East,Basic,2020-01-13 00:00:00
U00074,51,Other,South,Premium,2020-01-13 04:00:00
U00075,53,F,East,Basic,2020-01-13 08:00:00
U00076,54,F,East,Basic,2020-01-13 12:00:00
U00077,20,F,East,Premium,2020-01-13 16:00:00
U00078,26,F,South,Premium,2020-01-13 20:00:00
