transaction_id,user_id,product_id,rating,timestamp,purchase_amount,quantity,month,hour,day_of_week
T005895,U02554,P00654,4,2024-11-21 19:32:33.521103,125.89,4,2024-11,19,3
T035409,U00743,P00679,4,2024-11-21 19:36:42.521103,338.34,3,2024-11,19,3
T031024,U01007,P00298,3,2024-11-21 19:40:16.521103,254.36,2,2024-11,19,3
T020298,U04769,P00779,5,2024-11-21 19:41:52.521103,253.06,2,2024-11,19,3
T036506,U02470,P00672,4,2024-11-21 19:45:33.521103,72.11,2,2024-11,19,3
T005719,U03956,P00742,4,2024-11-21 19:47:14.521103,353.56,4,2024-11,19,3
T022975,U02690,P00075,5,2024-11-21 19:59:21.521103,360.49,3,2024-11,19,3
T047345,U02026,P00279,1,2024-11-21 20:02:53.521103,253.08,2,2024-11,20,3
T030592,U02581,P00007,4,2024-11-21 20:43:03.521103,447.43,4,2024-11,20,3
T049243,U02257,P00310,3,2024-11-21 20:47:26.521103,52.73,1,2024-11,20,3
T006669,U02399,P00333,3,2024-11-21 20:50:54.521103,273.24,4,2024-11,20,3
T031967,U04675,P00504,2,2024-11-21 20:54:58.521103,437.17,2,2024-11,20,3
T041183,U00986,P00528,2,2024-11-21 21:07:59.521103,330.11,1,2024-11,21,3
T018504,U00049,P00460,3,2024-11-21 21:12:06.521103,215.06,3,2024-11,21,3
T042077,U00209,P00892,5,2024-11-21 21:14:37.521103,417.52,2,2024-11,21,3
T048704,U02861,P00294,5,2024-11-21 21:19:22.521103,427.75,4,2024-11,21,3
T040439,U01600,P00036,4,2024-11-21 21:21:03.521103,158.6,3,2024-11,21,3
T016821,U03799,P00436,5,2024-11-21 21:27:28.521103,357.21,3,2024-11,21,3
T005485,U03035,P00451,4,2024-11-21 21:32:02.521103,128.76,4,2024-11,21,3
T015307,U00541,P00313,5,2024-11-21 21:40:15.521103,248.45,2,2024-11,21,3
T043677,U00136,P00129,5,2024-11-21 21:42:51.521103,151.52,2,2024-11,21,3
T021457,U02984,P00280,3,2024-11-21 21:46:21.521103,432.29,1,2024-11,21,3
T025783,U04619,P00172,1,2024-11-21 21:50:42.521103,301.89,2,2024-11,21,3
T035567,U02528,P00714,3,2024-11-21 21:52:51.521103,114.57,3,2024-11,21,3
T041571,U03915,P00769,4,2024-11-21 22:02:41.521103,108.3,4,2024-11,22,3
T047473,U01190,P00970,5,2024-11-21 22:08:59.521103,372.8,1,2024-11,22,3
T018165,U00145,P00008,5,2024-11-21 22:18:06.521103,467.98,4,2024-11,22,3
T028840,U02333,P00565,4,2024-11-21 22:41:41.521103,499.91,4,2024-11,22,3
T041917,U02095,P00093,5,2024-11-21 22:44:31.521103,493.39,1,2024-11,22,3
T003137,U01675,P00015,5,2024-11-21 22:46:55.521103,323.19,2,2024-11,22,3
T030996,U02270,P00380,5,2024-11-21 23:22:21.521103,10.14,1,2024-11,23,3
T026900,U04480,P00725,5,2024-11-21 23:22:36.521103,89.54,1,2024-11,23,3
T040656,U02648,P00203,5,2024-11-21 23:30:36.521103,265.84,1,2024-11,23,3
T025071,U00588,P00901,5,2024-11-21 23:33:28.521103,79.44,4,2024-11,23,3
T011516,U03480,P00654,5,2024-11-21 23:45:44.521103,334.33,1,2024-11,23,3
T038919,U01445,P00418,5,2024-11-22 00:00:51.521103,259.68,1,2024-11,0,4
T036247,U02544,P00346,3,2024-11-22 00:07:22.521103,470.45,3,2024-11,0,4
T048397,U03961,P00765,5,2024-11-22 00:33:00.521103,280.57,4,2024-11,0,4
T034142,U01612,P00395,4,2024-11-22 00:44:38.521103,409.1,1,2024-11,0,4
T045102,U01862,P00842,5,2024-11-22 00:48:06.521103,359.68,3,2024-11,0,4
T031265,U04188,P00592,4,2024-11-22 00:55:51.521103,26.47,1,2024-11,0,4
T006181,U00016,P00727,5,2024-11-22 00:56:26.521103,200.26,4,2024-11,0,4
T001300,U03788,P00597,3,2024-11-22 01:03:08.521103,400.83,4,2024-11,1,4
T006275,U00186,P00212,3,2024-11-22 01:04:57.521103,135.79,4,2024-11,1,4
T023623,U03989,P00492,5,2024-11-22 01:05:57.521103,196.81,1,2024-11,1,4
T015548,U03124,P00095,5,2024-11-22 01:07:06.521103,5.83,4,2024-11,1,4
T015689,U02513,P00767,5,2024-11-22 01:09:30.521103,365.6,4,2024-11,1,4
T045293,U01834,P00196,5,2024-11-22 02:01:22.521103,71.78,3,2024-11,2,4
T037072,U04956,P00298,4,2024-11-22 02:11:49.521103,79.1,1,2024-11,2,4
T028198,U02089,P00296,5,2024-11-22 02:17:12.521103,313.03,3,2024-11,2,4
T004123,U01588,P00753,5,2024-11-22 02:33:24.521103,208.8,4,2024-11,2,4
T022874,U04574,P00596,5,2024-11-22 02:43:41.521103,303.28,1,2024-11,2,4
T033117,U04558,P00918,3,2024-11-22 02:58:47.521103,389.58,3,2024-11,2,4
T031695,U03582,P00103,3,2024-11-22 03:22:39.521103,29.98,3,2024-11,3,4
T021842,U02637,P00806,3,2024-11-22 03:36:35.521103,307.96,4,2024-11,3,4
T027079,U02554,P00347,5,2024-11-22 03:39:30.521103,75.62,1,2024-11,3,4
T003769,U00295,P00715,4,2024-11-22 03:40:36.521103,96.34,4,2024-11,3,4
T011804,U02677,P00936,4,2024-11-22 03:40:51.521103,100.28,2,2024-11,3,4
T010151,U00908,P00702,5,2024-11-22 03:55:04.521103,338.81,2,2024-11,3,4
T041903,U01111,P00974,5,2024-11-22 03:55:19.521103,402.16,4,2024-11,3,4
T029515,U03599,P00431,3,2024-11-22 04:05:48.521103,223.24,2,2024-11,4,4
T035065,U01363,P00899,2,2024-11-22 04:31:27.521103,413.87,3,2024-11,4,4
T020467,U04771,P00393,5,2024-11-22 04:39:43.521103,268.3,2,2024-11,4,4
T037272,U02336,P00164,5,2024-11-22 05:08:51.521103,253.3,3,2024-11,5,4
T044684,U04292,P00334,4,2024-11-22 05:17:26.521103,103.34,2,2024-11,5,4
T046524,U02240,P00551,5,2024-11-22 05:20:40.521103,247.69,1,2024-11,5,4
T006270,U03845,P00418,5,2024-11-22 05:21:45.521103,454.4,1,2024-11,5,4
