CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,Cluster,Cluster_Name
12346,325.0,1.0,19880.99570000001,2031.1612000000005,11046.580000000007,1.0,1,Champions
12347,1.0,7.0,4310.0,615.7142857142857,2458.0,103.0,3,New Customers
12348,74.0,4.0,1797.24,449.31,2341.0,22.0,0,At Risk
12349,18.0,1.0,1757.55,1757.55,631.0,73.0,3,New Customers
12350,309.0,1.0,334.4,334.4,197.0,17.0,2,Potential Loyalists
12352,35.0,8.0,2506.04,313.255,536.0,59.0,0,At Risk
12353,203.0,1.0,89.0,89.0,20.0,4.0,2,Potential Loyalists
12354,231.0,1.0,1079.4,1079.4,530.0,58.0,2,Potential Loyalists
12355,213.0,1.0,459.4,459.4,240.0,13.0,2,Potential Loyalists
12356,22.0,3.0,2811.43,937.1433333333333,1591.0,53.0,0,At Risk
12357,32.0,1.0,6207.67,2031.1612000000005,2708.0,131.0,3,New Customers
12358,1.0,2.0,1168.06,584.03,248.0,13.0,0,At Risk
12359,57.0,4.0,6372.58,1593.145,1622.0,214.0,3,New Customers
12360,51.0,3.0,2662.06,887.3533333333334,1165.0,105.0,3,New Customers
12361,286.0,1.0,189.9,189.9,91.0,10.0,2,Potential Loyalists
12362,2.0,10.0,5226.23,522.6229999999999,2229.0,201.0,3,New Customers
12363,109.0,2.0,552.0,276.0,408.0,23.0,0,At Risk
12364,7.0,4.0,1313.1,328.275,1506.0,70.0,0,At Risk
12365,290.0,2.0,641.38,320.69,174.0,22.0,2,Potential Loyalists
12367,3.0,1.0,168.9,168.9,173.0,11.0,0,At Risk
12370,50.0,4.0,3545.69,886.4225,2353.0,143.0,3,New Customers
12371,44.0,2.0,1887.96,943.98,591.0,63.0,0,At Risk
12372,71.0,3.0,1298.04,432.68,794.0,34.0,0,At Risk
12373,310.0,1.0,364.6,364.6,197.0,14.0,2,Potential Loyalists
12374,24.0,1.0,742.9300000000001,742.9300000000001,342.0,33.0,0,At Risk
12375,10.0,2.0,457.5,228.75,178.0,14.0,0,At Risk
12377,314.0,2.0,1628.12,814.06,944.0,72.0,2,Potential Loyalists
12378,129.0,1.0,4008.62,2031.1612000000005,2529.0,219.0,3,New Customers
12379,81.0,2.0,852.24,426.12,407.0,39.0,0,At Risk
12380,21.0,4.0,2724.81,681.2025,1127.0,77.0,0,At Risk
12381,4.0,5.0,1845.31,369.062,808.0,70.0,0,At Risk
12383,184.0,5.0,1850.56,370.11199999999997,1532.0,84.0,2,Potential Loyalists
12384,28.0,2.0,585.27,292.635,126.0,26.0,0,At Risk
12386,337.0,2.0,401.9,200.95,354.0,10.0,2,Potential Loyalists
12388,15.0,6.0,2780.66,463.4433333333333,1462.0,57.0,0,At Risk
12390,79.0,1.0,549.84,549.84,353.0,32.0,0,At Risk
